plate_num,temperature_deg_c,time_h,scale_mol,stirring_shaking,concentration_mol_l,startingmat_1_name,startingmat_1_eq,startingmat_2_name,startingmat_2_eq,reagent_1_cas,reagent_1_name,reagent_1_smiles,reagent_1_eq,reagent_2_cas,reagent_2_name,reagent_2_smiles,reagent_2_eq,catalyst_cas,catalyst_name,catalyst_smiles,catalyst_eq,ligand_cas,ligand_name,ligand_eq,solvent_1_cas,solvent_1_name,solvent_1_smiles,solvent_1_fraction,product_1_area,selectivity_area
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,127-08-02,KOAC,CC(=O)[O-].[K+],2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,1160861-53-9,tBuBrettPhos,0.04,107-12-0,propionitrile,CCC#N,1,0.060,0.321
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,1262046-33-2,CyRockPhos,0.04,5614-37-9,cyclopentyl-methyl-ether,COC1CCCC1,1,0.046,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7087-68-5,diisopropylethyl amine,CCN(C(C)C)C(C)C,2.4,,none,,,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,1160861-53-9,tBuBrettPhos,0.04,107-12-0,propionitrile,CCC#N,1,0.028,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,19455-23-3 ,KOPivalate,CC(C)(C)C(=O)[O-].[K+],2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,1262046-33-2,CyRockPhos,0.04,109-60-4,n-propyl acetate,CCCOC(=O)C,1,0.028,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,19455-23-3 ,KOPivalate,CC(C)(C)C(=O)[O-].[K+],1.2,6674-22-2,DBU,C1CCC2=NCCCN2CC1,1.2,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,819867-21-5,tBuSPhos,0.04,107-12-0,propionitrile,CCC#N,1,0.026,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,1.2,6674-22-2,DBU,C1CCC2=NCCCN2CC1,1.2,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,1810068-30-4,CPhos-Hybrid,0.04,123-92-2,isoamyl acetate,CC(C)CCOC(=O)C,1,0.018,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,127-08-02,KOAc,CC(=O)[O-].[K+],1.2,6674-22-2,DBU,C1CCC2=NCCCN2CC1,1.2,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,1053658-91-5,cataCXium POMetB,0.04,75-85-4,2-methyl-2-butanol,CCC(C)(C)O,1,0.017,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,6674-22-2,DBU,C1CCC2=NCCCN2CC1,2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,1810068-31-5,RuPhos-Hybrid,0.04,75-85-4,2-methyl-2-butanol,CCC(C)(C)O,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,,Me-DalPhos,0.04,75-85-4,2-methyl-2-butanol,CCC(C)(C)O,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,19455-23-3 ,KOPivalate,CC(C)(C)C(=O)[O-].[K+],2.4,,none,,,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,6372-42-5,CyPPh2,0.04,75-85-4,2-methyl-2-butanol,CCC(C)(C)O,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,80-70-6,Tetramethylguanidine,CN(C)C(=N)N(C)C,2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,395116-70-8,cataCXium ABn,0.04,75-85-4,2-methyl-2-butanol,CCC(C)(C)O,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,80-70-6,Tetramethylguanidine,CN(C)C(=N)N(C)C,2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,6002-34-2,PtBuPh2,0.04,75-85-4,2-methyl-2-butanol,CCC(C)(C)O,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,1.2,127-08-02,KOAc,CC(=O)[O-].[K+],1.2,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,395116-70-8,cataCXium ABn,0.04,75-05-8,acetonitrile,CC#N,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,19455-23-3 ,KOPivalate,CC(C)(C)C(=O)[O-].[K+],2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,255836-67-0,TrixiePhos,0.04,75-05-8,acetonitrile,CC#N,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,6674-22-2,DBU,C1CCC2=NCCCN2CC1,2.4,,none,,,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,149245-03-4,(rac)-QUINAP,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,6674-22-2,DBU,C1CCC2=NCCCN2CC1,2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,947402-60-0,NPCy2-Andolephos,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7087-68-5,diisopropylethyl amine,CCN(C(C)C)C(C)C,2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,1070663-78-3,BrettPhos,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7087-68-5,diisopropylethyl amine,CCN(C(C)C)C(C)C,2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,,PAd2Cy,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,1308652-65-4,iPr-PhenCarPhos,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,175136-62-6,"P(3,5-CF3-Ph)3",0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,1308652-64-3,PhenCar-Phos,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,1.2,6674-22-2,DBU,C1CCC2=NCCCN2CC1,1.2,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,1810068-30-4,CPhos-Hybrid,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,127-08-02,KOAC,CC(=O)[O-].[K+],2.4,,none,,,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,897665-73-5,(1-Ad)3P,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,19455-23-3 ,KOPivalate,CC(C)(C)C(=O)[O-].[K+],1.2,6674-22-2,DBU,C1CCC2=NCCCN2CC1,1.2,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,740815-36-5,cataCXium PInCy,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,19455-23-3 ,KOPivalate,CC(C)(C)C(=O)[O-].[K+],1.2,6674-22-2,DBU,C1CCC2=NCCCN2CC1,1.2,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,1810068-30-4,CPhos-Hybrid,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,127-09-3,NaOAc,CC(=O)[O-].[Na+],2.4,,none,,,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,1810068-30-4,CPhos-Hybrid,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,80-70-6,Tetramethylguanidine,CN(C)C(=N)N(C)C,2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,1262046-33-2,CyRockPhos,0.04,100-66-3,anisole,COC1=CC=CC=C1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7087-68-5,diisopropylethyl amine,CCN(C(C)C)C(C)C,2.4,,none,,,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,672937-63-2,cataCXium POMeCy,0.04,5614-37-9,cyclopentyl-methyl-ether,COC1CCCC1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7087-68-5,diisopropylethyl amine,CCN(C(C)C)C(C)C,2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,6372-42-5,CyPPh2,0.04,5614-37-9,cyclopentyl-methyl-ether,COC1CCCC1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,1.2,127-08-02,KOAc,CC(=O)[O-].[K+],1.2,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,13716-12-6,P(tBu)3,0.04,5614-37-9,cyclopentyl-methyl-ether,COC1CCCC1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,1.2,127-08-02,KOAc,CC(=O)[O-].[K+],1.2,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,1810068-31-5,RuPhos-Hybrid,0.04,5614-37-9,cyclopentyl-methyl-ether,COC1CCCC1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,1.2,127-08-02,KOAc,CC(=O)[O-].[K+],1.2,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,657408-07-6,SPhos,0.04,5614-37-9,cyclopentyl-methyl-ether,COC1CCCC1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,127-08-02,KOAC,CC(=O)[O-].[K+],2.4,,none,,,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,255836-67-0,TrixiePhos,0.04,5614-37-9,cyclopentyl-methyl-ether,COC1CCCC1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,127-08-02,KOAc,CC(=O)[O-].[K+],1.2,6674-22-2,DBU,C1CCC2=NCCCN2CC1,1.2,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,6002-34-2,PtBuPh2,0.04,5614-37-9,cyclopentyl-methyl-ether,COC1CCCC1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,19455-23-3 ,KOPivalate,CC(C)(C)C(=O)[O-].[K+],1.2,6674-22-2,DBU,C1CCC2=NCCCN2CC1,1.2,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,240417-00-9,PhDavePhos,0.04,5614-37-9,cyclopentyl-methyl-ether,COC1CCCC1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,80-70-6,Tetramethylguanidine,CN(C)C(=N)N(C)C,2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,1848244-75-6,VPhos,0.04,5614-37-9,cyclopentyl-methyl-ether,COC1CCCC1,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7778-53-2,K3PO4,[K].OP(O)(O)=O,2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,947402-60-0,NPCy2-Andolephos,0.04,108-20-3,di-isopropyl ether,CC(C)OC(C)C,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,127-08-02,KOAC,CC(=O)[O-].[K+],2.4,,none,,,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,857356-94-6,Me4tBuXPhos,0.04,108-20-3,di-isopropyl ether,CC(C)OC(C)C,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,19455-23-3 ,KOPivalate,CC(C)(C)C(=O)[O-].[K+],1.2,6674-22-2,DBU,C1CCC2=NCCCN2CC1,1.2,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,932710-63-9,(pDMA-Ph)P(tBu)2 = AmPhos,0.04,108-20-3,di-isopropyl ether,CC(C)OC(C)C,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,127-09-3,NaOAc,CC(=O)[O-].[Na+],2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,6002-34-2,PtBuPh2,0.04,108-20-3,di-isopropyl ether,CC(C)OC(C)C,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,80-70-6,Tetramethylguanidine,CN(C)C(=N)N(C)C,2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,1308652-64-3,PhenCar-Phos,0.04,142-96-1,di-n-butyl ether,CCCCOCCCC,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,6674-22-2,DBU,C1CCC2=NCCCN2CC1,2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,6372-42-5,CyPPh2,0.04,123-92-2,isoamyl acetate,CC(C)CCOC(=O)C,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,6674-22-2,DBU,C1CCC2=NCCCN2CC1,2.4,,none,,,51364-51-3,[Pd2(dba)3],C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.C1=CC=C(C=C1)/C=C/C(=O)/C=C/C2=CC=CC=C2.[Pd].[Pd],0.02,947402-60-0,NPCy2-Andolephos,0.04,123-92-2,isoamyl acetate,CC(C)CCOC(=O)C,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7087-68-5,diisopropylethyl amine,CCN(C(C)C)C(C)C,2.4,,none,,,12012-95-2,[Pd(allyl)Cl]2,[CH2-]C=C.[CH2-]C=C.Cl[Pd+].Cl[Pd+],0.02,6002-34-2,PtBuPh2,0.04,123-92-2,isoamyl acetate,CC(C)CCOC(=O)C,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,7087-68-5,diisopropylethyl amine,CCN(C(C)C)C(C)C,2.4,,none,,,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,6002-34-2,PtBuPh2,0.04,123-92-2,isoamyl acetate,CC(C)CCOC(=O)C,1,0.000,0.000
1,70,18,4.55E-05,st_400,0.152,ArCl,1,H2NSO2NRR’,1.1,127-08-02,KOAC,CC(=O)[O-].[K+],2.4,,none,,,3375-31-3,[Pd(OAc)2],CC(=O)[O-].CC(=O)[O-].[Pd+2],0.02,149245-03-4,(rac)-QUINAP,0.04,123-92-2,isoamyl acetate,CC(C)CCOC(=O)C,1,0.000,0.000
